Hi.	Maalɛ.
Tom is not as patient as Mary.	Ɣän ciä ji̱ baay kɛ ramdɔdiɛn ?
Tom is not as patient as Mary.	Töm /ciɛ luääk ce̱tkɛ Mëri̱.
Tom said that Mary was eating.	Ci̱ Töm ɛ lar i̱ ŋɔt Mɛri̱ kɛ mi̱äth.
Tom speaks French really well.	Töm ŋäcɛ ruac thuɔk pi̲rɛny ɛlo̲ŋ.
Tom will try it one more time.	Töm bɛ nyɔk kɛ ɣɔ̱n kä kɛɛl.
Would you like me to help you?	Nhɔki̱ jɛ i̱ dëë ji̱ luäk ?
Both Tom and I failed the exam.	Ɣän kɔnɛ Töm ci̱ nɛy pɛ̈ɛ̈n kä Ɣɔ̱ɔ̱n.
Both Tom and Mary like bananas.	Töm kɛnɛ mɛri̲ nhɔk kɛn muuth.
Did you come with your husband?	Jin ci ben yiɛnɛ cɔwdu?
Did you talk to Tom about that?	Ci̱aa ruac yi̱ɛnɛ Töm kɛ kui̱ kä nɔmɔ?
Does he know that you love him?	Jɛn ŋäcɛ ɣöö nhɔki̱ jɛ.
Finish it before you go to bed.	Thukɛ ɛŋoti̲ käni̲ wee tɔ̲ɔ̲c.
I don't have any classes today.	Thiɛlɛ ɤä ki̲lɛ̈th kɛ cäŋ wa̲lɛkä.
I don't want to see this again.	Cänɛ gör i̲ bä nyɔk kɛ nën.
I hope that I see Tom tomorrow.	Ŋa̱thä jɛ ɛn ɣöö bä Töm nɛn iruun.
I poured water into the bucket.	Cä pi̱w wuɔc rɛy jɛndɛlkä,.
I poured water into the bucket.	Cä pi̱w wuɔc rɛy jɛndɛlkä.
I took this picture a week ago.	Cä thuurɛ ɛmɛ kän kɛ juɔk ëë ci̱ wee.
I want to go play in the river.	Görä ɣöö bä wä ŋar yieer.
Just help me with this baggage.	Luäkä kɛ bɛ̈ɛ̈k ɛmɛ.
Most Americans like hamburgers.	Nɛy ti̱ ŋuan ni kɛn kä Amëri̱ka nhɔk kɛn Amäri̱gɛr.
My father bought me some books.	Ci̲ gua̲rä ko̲k buɔkni.
No one asked me not to do that.	Thiɛlɛ ram kɛl mi̲ ci ɤä thiëëc i̲ /cu jɛ lät.
People say I have a nice voice.	Ci̲ nath wëë ta̲a̲ kɛ jɔw mi̲ gɔaa.
Tom and Mary work in Australia.	Töm kɛnɛ Mɛrɛ lätkɛ kä ɣɔ̱thi-ra-lia.
Tom bought Mary some chocolate.	Töm cɛ Mɛrɛ kök cɔ-kɔ-lɛt.
Tom has a 13-year-old daughter.	Töm tëkɛ nyaadɛ mi tekɛ run 13.
Tom listened to Mary carefully.	Töm cɛ Mɛri̲ liŋ kɛ päl pi̲ny.
Tom saw Mary eating a sandwich.	Töm cɛ nɛn Mɛrɛ mi̱thɛ kɛ Tha̱nduuc .
Tom told me that he had a cold.	Töm cɛ la̱r ɣä i̱ tëë kɛ thony thoony
Tom was very happy to see Mary.	Töm ci̱ lɔcdɛ tɛ̈ɛ̈th kɛ ɣöö cɛ Mɛri̱.
Wet clothes stick to your skin.	Bie̱yni ti ɣɔ̱c duapkɛ rɔ̱ puɔ̱ɔ̱nydu.
Yes. We should be very careful.	ɤään. Banɛ dhil te̲ kɛ tiit.
You should go brush your teeth.	Wer görɛ ɣöö dëri̱ lɛcku we toth.
Your performance was very good.	Jin ci̱ mi̱ gɔaani̱ jɛn la̱t ɛlo̱ŋ
Big people aren't always strong.	Nɛy ti̱n di̱i̱t/kɛn la bum ni̱ ciaaŋ.
Do you want to come to my place?	Ji̲n go̲ri ɤöö dëri̲ ben gua̲ath ciɛɛŋkädä?
I actually haven't even met Tom.	Kɛ thuɔ̲k /ka̲n ji̲e̲k kɔnɛ Töm.
I need to know why Tom did that.	Görä ɤöö bä ŋa̲ci̲ ɛŋu lät Töm nɔmɔ kɛ jɛ mɔ
I still have other things to do.	Yän ŋuɔtdä ta̱a̱ tikɔ̱ŋ ti la̱tdä
I think you're absolutely right.	Ɛ thuɔ̱k ɣän ŋa̱thä jɛ i̱ ciɛ la̱t kɛliw..
I thought Tom didn't work today.	Cä diw i̱ Töm känɛ lät ɛn wa̱lɛ.
I want Tom to move to Australia.	Görä ɣöö Töm bɛ ɣo̱th kä Ɣɔthtralia.
I'm happy that you're my friend.	Tɛ]th lɔcdä kɛ ɣöö ɛ ji̱n määthdä.
If you do it at all, do it well.	Mi̱ wi jɛ cak la̱t, lätni̱ jɛ agɔa.
Mary is having a new dress made.	Mɛri tëkɛ bi̱i̱ mi pay la̱t.
Mary is having a new dress made.	Mɛri tëkɛ bi̱i̱ mi pay tɛm.
Mary is having a new dress made.	Mɛri tëkɛ bi̱i̱ mi pay kɔc.
The Jacksons moved to Australia.	Ci Jakthɔn ɤo̲th kä Awuthi̲raliaa.
They were rich as well as happy.	Kɛ nɛy ti̲ ria̲ŋ ria̲a̲ŋ kä tɛthlo̲ckiɛn.
Tom didn't do that the easy way.	Töm /känɛ la̲t kɛ duɔ̲ɔ̲p mi̲ thia̲kthia̲k
Tom has a lot of good qualities.	Tönm tee kɛ gɔy ti̲ ŋuan
Tom is a very gregarious person.	Töm ɛ ram ŋäc muɔŋ ɛ lɔ̱ŋ.
Tom said that he was unemployed.	Töm ɛjɛni̱ thiɛlɛ la̱t.
Tom used to drink a lot of milk.	Töm la maathɛ cak ti ŋuan.
Tom won't be able to go with us.	Jɛn cɛ gɔaa i̱ we kɔ kɛ Töm kɛɛl.
What time do you arrive at work?	Ɛ thaak di̲? laa cupi̲ ciëëŋ kɛ jɛ mɔ.
Be careful not to make Tom angry.	Tiitɛ ɛn ɣöö cuu lɔc Töm jaa kä jiäk.
He wants a watch just like yours.	Go̱o̱rɛ thaak mi ce̱t nikɛ duŋdu.
I asked Tom for his phone number.	ɤän cä Töm thi̲ëëc kɛ nɔmbɔr talɛpɔnkädɛ.
I couldn't sleep much that night.	Ɣän /cän bi̱ tɔ̱ɔ̱c kɛ thiaaŋ ɛmɛ ɛlɔ̱ŋ.
I even surprise myself sometimes.	Tha̱a̱ŋ guääthni̱ ɣän laa wi̱i̱dä yi̱i̱cɛ
I feel sick whenever I see blood.	Mii̱ cä ri̱ɛm nɛn laa ɣa̱ mocɛ kɛ juëy.
I have many friends that help me.	ta̲a̱ kɛ mäthni ti̱ ŋuan ti laa ɤä a luäk.
I'd like to cook chicken tonight.	Ɛn wäri̱ görä ɣöö bä thaal kɛ manpɛ̈lɛ̈k.
I'm not a student. I'm a teacher.	Ciɛ ɣän dho̱o̱l duëël gɔ̱ɔ̱rkä. Ɛ ɣän ŋi̱i̱c.
If Tom comes, please let me know.	Mi̱ ci̱ Töm cop, Ɣän a ŋa̱cä jɛ.
Tom and Mary only have one child.	Töm kɛnɛ Mɛrɛ tekɛ gat kɛl kärɔa.
Tom bought what he needed to buy.	Töm cɛ mëë go̱rɛ kɔkɛ kɔk.
Tom called some friends for help.	Ci̲ Töm mɔ̈thni̲ kɛ cɔl kɛ kui̲c luɔ̈kä
We don't joke about these things.	/Ci̱ nɛy ŋar kɛ kui kä ti̱ti̱.
We were as surprised as you were.	Ci̱ nɛy ga̱a̱c ni̱ kɛ jɛn ga̱a̱c ëë ci̱ ga̱a̱c kɛ ji̱.
Your blood pressure is very high.	Jin ci̲ di̲i̲t riɛmdu kac nhial ɛlo̲ŋ.
Do you feel like doing that today?	Jeki rɔ cet bi nɛmi la̲t ɛn walɛ?
I didn't find everything I needed.	/Ka̲n tin go̱o̱rä kɛn dial jëk
I showed Tom how to tie a bowline.	Ɣän cä Töm nyuɔ̱th ta̱a̱ ɛn yiankɛ kuin -bäär kɛ jɛ.
I still think I can get something.	Ɣän ca̱a̱rä kɛ ɣöö dee duɔ̱ɔ̱r jëk.
I told Tom all about the accident.	Cä la̱t Töm kɛɛliw ɛn riɛk.
People are still afraid to go out.	Kɛn nath ŋot kɛ dual kɛ ben diɛn raar.
Those are nice gloves you have on.	Gɔwkɛ kɛn gölöpni tɔ̱ ci la̱thɔ̱.
Tom told me he didn't like boxing.	Töm cɛ la̱r ɣä i̱ lo̱kɛ bɔ-thiŋ.
Tom told me he didn't like boxing.	Töm cɛ la̱r ɣä i̱ lo̱kɛ piääm.
What did you think of the wedding?	Ɛŋu ɛn mëë caari̱ kɛ kui̱ kuën?
Why do we have to go to Australia?	Ɛŋu dënɛ we̲ kɛ jɛ mɔ kä A̲thtɔrɔ̲lia?
You'll feel better in a few hours.	Bi puɔ̱nydu päär kɛ dägiɛɛkni ti tɔt.
Did you fill out the questionnaire?	Cikɛ thie̱ŋ kɛn thie̱cni?
Do you think that Tom will like me?	Diiwi̲ jɛ i̲ bi̲ Töm ɤä nhɔk?
Have I done something to annoy you?	tee kɛ mi̲ cä la̲t ɛ jiäk mi̲ de lɔcdu yia̲r?
I definitely don't need to do that.	Cänä go̲r ɛ puc ɛn ɤöö bä nɔmɔ la̲t.
I don't understand how it happened.	Ka̱n mi̱n ci̱ tuɔk ŋa̱c ɛn tämɛ.
I think Tom won't do that tomorrow.	Kɛ ca̱rä Töm cɛ bi la̱t iruun.
I think Tom won't do that tomorrow.	Carä jɛ Töm cɛ bi la̱t iruun.
I went swimming with Tom yesterday.	Cä we kɛt kɔnɛ Töm pan.
I wonder if I could really do that.	Di̱ɛɛrä mi̱ dee nɔmɔ la̱t.
I'm going to give this book to Tom.	Go̱o̱rä ɣöö bä Töm ka̱m bok ɛmɛ.
It looks like the TV isn't working.	Gui̱ɛcä jɛ ɛn ɣöö Ti̱bi̱iciën ɛmɛ cɛ la̱t.
Must I always do everything myself?	ba ti dial lat kɛ ka rɔa da.
The man was held in police custody.	Ɛn wut ca la̱th tetdä kumɛ.
Tom died in 2013 from tuberculosis.	Ci̲ Töm li̲w kɛ ti̲bi̲i̲kulööth kɛ 2013.
Tom injured his elbow when he fell.	Töm cɛ ciälɛ näk mëë cɛ pɛ̈n.
Tom is hiding something. I know it.	Töm tëkɛ mi cɛ tɛ̱̈ɛ̱̈. ŋa̱cä jɛ.
Tom is hiding something. I know it.	Töm cɛ duɔ̱ɔ̱r tɛ̱̈ɛ̱̈. ŋa̱cä jɛ.
Tom said that he heard Mary crying.	Töm cɛ lar i̱, cɛ mɛrɛ liŋ ro̱tdɛ.
We should probably talk about that.	Diɛwä jɛ dee kɔn ruac kɛ kui̱ kä nɔmɔ.
We want you to be the team captain.	Go̲r nɛy ɤöö bi̲ ji̲nɛ bo̲o̲th bunä
Why would I want to go there alone?	Ɛŋu mi dë wä thɔ̱ŋɔ jɛ kärɔadä?
Why would I want to go there alone?	Ɛŋu mi dä weŋä ɣän kärɔa ɛn thɔ̱ŋɔ?
I can't make out what she is saying.	/Ci̱en min latdɛ dee luäŋ kɛ no̱ŋ raar.
I know that Tom is thirty years old.	Ɣän ŋa̱cä jɛ i̱ tee Töm kɛ ruun ti̱ jiɛn di̱ɔ̱k.
I saw Tom walking towards the beach.	Töm cä nɛɛn jälɛ wee kɛ thok yiëër
I'm waiting for Tom to fix the sink.	liɛpa ni tom bɛ thaak wakani ben lat.
She was very surprised at the sight.	cɛ ga̱a̱c ɛlɔ̱ŋ kɛ nëndɛ.
They wanted to stay in their houses.	Go̱o̱r kɛn ɣöö dekɛ te duëli̱kiɛn.
Who do you think should get the job?	Ɛ ŋa di̱w yi̱ɛnɛ mɔ i̱ dëë la̱t jek ?
Close the window before going to bed.	Gäk wërnyindu ɛ ŋot käni̱ we kä dhaŋdu
Do you still enjoy watching cartoons?	Ɛn guiäc karɛto̱ni̱ jalɛ lɔcdu kä tɛ̈ɛ̈th?
I cry whenever I listen to this song.	ɤän mi̲ cä dïït ɛmɔ li̲ŋ la ,ɤän ɛ wi̲ää.
I haven't eaten anything in six days.	Ɣän thiɛlɛ mi̱ cä cam kɛ ni̱n bäkɛl.
Not many people would agree with you.	/cikɛ nɛi ti ŋuan bi mat kɛ ji.
Some people are allergic to tomatoes.	Tha̱ŋ nath lo̱k kɛn mi̱äth Tomatomni̱.
Tom hoped that he'd be offered a job.	Töm guicɛ jɛ dɔ̱ŋ dëë moc la̱t.
Tom is expected to get back tomorrow.	Dɔ̲ŋ bi̲ Töm lunyjɔk irun
Tom just called me a few minutes ago.	Töm payɛ ɣä yɔ̱di̱ kä kɛ gua̱a̱th in tɔt in pay wä.
Tom will be interested in doing that.	Töm nhɔkɛ jɛ i̱ bɛ la̱t ɛmɛni̱ yi̱k la̱t.
I didn't want to answer that question.	/Ci̲änɛ go̲ri̲ bä thi̲e̲c ɛmɔ loc.
I don't need to be at today's meeting.	ɤän cänɛ go̲r i̲ bä tee kä duɔl ca̲ŋ ɛmɛ.
I doubt Tom has finished his homework.	Di̲ɛwä ɤöö /kän Töm la̲t ci̲ëŋ thuk
I suspect Tom will eventually do that.	Cä ga̱a̱c ɛlɔ̱ŋ kɛ ɣöö dëë Töm nɛmɛ tok ɛ jɛn.
I used to go out with a guy named Tom.	Cä kɔnɛ ja̱lä raar kɔnɛ gar mi cɔalkɛ Töm.
There's nothing surprising about that.	Thiɛlɛ mi̱ la ga̱a̱c kɛ kuidɛ.
This church has stained glass windows.	Ɛn duel Kuɛɔ̱th ɛmɛ ci̱ nëëni wër nyinikɛ lɔth.
Tom helped the old man cross the road.	Töm cɛ gua̱ndi̱i̱t luäk kɛ ŋuɔ̱k caarkä.
Tom said he wasn't old enough to vote.	Töm cɛ lar i̱ kenɛ ni di̱t ɛlɔ̱ŋ kɛ ɣöö bɛ yuɔr.
Tom said that he didn't want to dance.	Töm cɛ lar ɛnɣöö /cɛ bi döny.
Tom said that he didn't want to dance.	Töm cɛ lar i̱ jɛn /cɛ go̱r i̱ bɛ duth.
We're getting married in three months.	Kɛ kɔr pääthni̱ da̱ŋ diɔ̱k ba kuënda puɔ̱t.
I had no idea that was going to happen.	Thi̲ɛlɛ ɤä ca̲r kɛ min bi̲ tuɔɔk
I think that Tom is going to dump Mary.	Ca̱rɛ diɛwä Töm bɛ Mɛri päl.
I think that Tom is going to dump Mary.	Yän carä jɛ ɛn Töm bɛ Mɛri päl.
It'll be more difficult than you think.	Bɛ buɔ̱m ɛlɔ̱ŋ ɛ lenyni̱ ca̱r in cari jɛ.
No, I'm not going to smell your armpit.	Ɣëy, /cien rɔ̱thdu bi̱ ŋuäc.
Our meetings hardly ever start on time.	Duɔ̱li̱kɔn bumɛ ɛlɔ̱ŋi̱ bakɛ tok kɛ pɛ̈th
This book is written in simple English.	Ɛn bok ɛmɛ ca gɔ̱r kɛ kɛ thok Liŋɛli̱i̱th mi̱ thia̱k.
Tom gives Mary everything she asks for.	Töm laa kämɛ Mɛɛrɛ mɔ cɛ thi̲ecɔ.
Tom is now learning to ride a tricycle.	Töm täämɛ ŋi̱i̱cɛ rɔ kɛ gër jiöök thɛliɛk.
Tom may not be telling the whole truth.	Töm dɔ̱ŋ /kenɛ thuɔ̱k lat kɛɛliw.
You should attend to your own business.	Bi̱ yi̲k guɔ̲ɔ̱r ni la̱tdu kärɔa.
Does Tom know what you're talking about?	Dëraa mi̲ ŋäc Töm min ruaci̲ kɛ kui̲dɛ i̲nu?
I don't think I know anyone around here.	Ka̲nɛ car ɛn höö tëë kɛ rami ŋa̲cä ɛn guäth ɛmɛ
I knew that Tom would be a good teacher.	ɤän ŋa̲cä jɛ Töm bɛ yik ɛ ŋi̲i̲c mi gɔaa.
The car I rented from you has a problem.	Thurbil ëë cä dɛn kä ji̱ tëëkɛ riɛk.
Tom is the one who told me not to leave.	ɛ töm ɛn mee jio̲k ɤä ɛnee i̲ /cu jiɛn
Tom was the last to leave the classroom.	Töm ɛjɛn be̲ raar kɛ jɔakɔ kä rɛy kilɛ̈ɛ̈th.
Two weeks of heavy rain led to flooding.	Nhial ɛn ci̱ dɛ̈ɛ̈m kɛ juɔ̱kni̱ rɛw cɛ cään mi̱ di̱i̱t no̱o̱ŋ ɛlo̱ŋ.
Are you going to tell me what's going on?	Bi̱ ɣä la̱r min tuɔɔk?
Are you saying you don't want to do that?	Lari ni ɣöö /ciɛ bi la̱t ɛn nɔmɔ inun?
I don't remember how to use the shredder.	/Cienɛ tit ɛn la̱t ɛ lät kɛ nyueey wargakni̱ mɛ.
Is it true Tom used to live in Australia?	Ɛ thuɔ̱k inun ɛn Töm cɛ kɔn cieŋ kä Ɣu-thɛ-ra-lia?
That's exactly what Tom and I were doing.	Ɛ jɛn nɔmɔ pa̱ny ɛn mëë la̱tä kɔnɛ Töm.
Tom didn't quite understand how to do it.	/Kän Töm duɔ̲ɔ̲p in la̲t jɛ kɛ jɛ ŋa̲c ɛgɔa.
Tom had never been so afraid in his life.	Töm /kenɛ met dual inɛ rɛy tekädɛ.
They give good service at that restaurant.	Tho̲p kɛn la̲t mi̲ gɔa ɛn due̲l kua̲n ɛmi̲i̲
Tom said he thought Mary was in Australia.	Töm cɛ lar i̱ ŋäcɛ ni ɣöö te Mɛrɛ kä ɣɔ̱thi-ra-lia.
We should've done what Tom asked us to do.	Dënɛ min ci̲ Töm kɔn jiöki̲ dënɛ la̲t la̲t.
It isn't like I have anything better to do.	Cerɛ mi̱ thiɛlɛ mi̱ gɔaa mi̱ lɛ̈lä.
It was yesterday that Tom broke the window.	Ɛ pan ɛn mëë ci̱ Töm wernyin tiath.
It'll take me about three hours to do that.	Bi̠ la̱tdɛ ɣä naŋ thaani̠ da̱ŋ di̠ɔ̱k.
Neither Tom nor Mary has called the police.	/Cië Töm kiɛ Mëri̱ cɔl Poli̱i̱th ɔ.
That's one of the things I was looking for.	Ɛ jɛn kɛl ëë göörä ɛlɔŋ.
Tom and Mary live close to a national park.	Töm kɛnɛ Mɛri̲ ci̲e̲ŋ kɛn thi̲e̲e̲kä näti̲nɔl pak.
Tom didn't tell Mary why he didn't do that.	Töm kenɛ jɛ la̱r mɛri ɛŋu mi kenɛ jɛ la̱t kɛ jɛ.
Tom never really wanted to leave Australia.	Töm cɛ nhɔk i̱ pälɛ Ɣawuthi̱ra̱li̱aa
Camel milk is good for people with diabetes.	Gɔayɛ ɛlɔ̱ŋ kɛn ɣöö dee nath ti̱n tee kɛ juëy thok këër ruëëth kɛ cak jamɛ̈ɛ̈l
I doubt Tom really had to do that yesterday.	/Ka̲nɛ ŋäth i̲de̲ Töm nɔmɔ la̲t pan
They should've hired someone more qualified.	Gɔaa ni̱ ɣöö ci̱ ëë cia no̱o̱ŋni̱ nɛy ti̱ lua̱ŋ la̱t.
We won't do what Tom says he wants us to do.	/Ci nɛy min ci Töm ɛ lari baa la̲t bi la̲t
Have you ever done anything like this before?	Ci̱ mi̱ cie nɛmɛ met la̱t ni̱ wen?
Her father could swim well when he was young.	Ɛn gua̱n ketdɛ ɛgɔa mëë ŋuotdɛ ɛ ŋuɛ̈t.
Her father could swim well when he was young.	Gua̱n ketdɛ ɛgɔa mëë ŋuotdɛ ɛ ŋuɛ̈t.
Tom told Mary that he wasn't afraid of death.	Töm cɛ Mɛri̱ jiök i̱ /cɛ dual kɛ lia̱a̱.
Are you saying that you don't want to do that?	Lari ni ɣöö /ciɛ bi la̱t ɛn nɔmɔ inun?
He will be angry to learn that she told a lie.	Bɛ ŋɛ̈ɛ̈ny mi̲ wëë ŋa̲ci ci̲ nyaamɔ kac lat
I want you to forget everything you saw today.	ɣän göörä jɛ bikɛ pa̱l ruëëc kɛn ti̱diaal tin ci nɛn ɛn walɛ.
I want you to forget everything you saw today.	Göörä jɛ bi̱kɛ pa̱lruëëc kɛndiaal kɛn tin ci nɛn ɛn wa̱lɛ.
Tom isn't going to find what he's looking for.	Töm/ känɛ mi̱n go̱o̱rɛ jek.
I thought that you told me you didn't know Tom.	Ŋa̲cä ni̲ ɤöö ciɛ lar ɤä i̲kui̲ci̲ Töm.
Tom has been working here for over three years.	To̱m cɛ jääŋ kɛ la̱t ɛn gua̱a̱th ɛmɛ kɛ kɔr ruuni̱ da̱ŋ di̱ɔ̱k.
We both knew that eventually this would happen.	Kɔn da̱ŋrɛw ŋäc nɛi ɛ kɛ kɔrɛ bɛ dhil tuɔɔk.
We both knew that eventually this would happen.	Kɔn da̱ŋrɛw ŋa̱c nɛi ɛ kɛ guutdɛ bɛ dhil tuɔɔk.
We're going to have to do something about that.	Bi̱ kɔn duɔ̱ɔ̱r yi̱k la̱t kɛ kui̱dɛ.
I will have to take on someone to do Tom's work.	Ɣän bä ram kɛl jakä ɣöö bɛ la̱t Töm ɛmɛ la̱t.
I'm cold. Would you mind turning the heating on?	Näk kɔ̱c ɣä. Derɛ gɔaa mi̱ ci̱ ji̱ɔm in läthläth lɛp?
Listen carefully and do exactly what I tell you.	Liŋɛ ɛgɔaa kuɛ la̱t cetkɛ min cä jɛ la̱r ji.
Mary said she thought Tom would be back by 2:30.	Mɛri̲ cɛ jɛ lar i̲ de Töm ben ɛnee kɛɛ thaak 2.30
She goes jogging every morning before breakfast.	La wëë wur kɛ kuɛ̈ŋ ɛ ŋot kuän ruɔ̱nwaaŋ.
The police will look into the cause of the fire.	Bi polith ɛ guic ɛn nin tuok waŋ.
The police will look into the cause of the fire.	Bi boltharkɛɛt ɛ guic ɛn nin tuok waŋ.
Tom doesn't want to be dependent on his parents.	Töm /cɛ go̱r i̱ ba lua̱kɛ ni̱ jɛ ɛ ciëëmani̱.
Everyone on the bus was asleep except the driver.	Ci̲ nɛy diaal tin tee rɛy bäthkä ni̲ɛn ɛni gëër kärɔadɛ kän niɛnɔ.
I've never seen this kind of thing happen before.	/Ka̱nɛ met nɛn ɛn mi̱ cie nɛmɛ tuɔkɛ, ni̱ wal.
Tom said he thought that Mary would be back soon.	Ci Tömɛ lari̲ ŋäcɛ nï ɤöö bi Mɛrï mal lunyjɔk kɛ pɛ̈th
Tom said that he thought Mary looked discouraged.	Ci̲ Tömɛ lari̲ caarɛ jɛi̲ jiäk lɔc Mɛri̲
Tom was buried in the cemetery behind the church.	Töm ca kony gua̱a̱th kunyä min te jɔɔk luak kuɔth.
That game is easy, once you learn the basic rules.	Ŋar ɛmɔ thia̲kɛ, mi ci ŋuɔ̲tkɛ ŋa̲c
I know Tom could do that if he puts his mind to it.	Ɣän ŋa̱cä jɛ de Töm ɛ la̱t, mi cɛ cärɛ kuëŋ thi̱n.
If you teach me your language, I'll teach you mine.	Mi wi̱i̱ ɣä ŋie̱e̱c kɛ thoodu, Bä ji ŋie̱e̱c kɛ thoodä.
Tom told me some things he probably shouldn't have.	Töm cɛ ɣä la̱r duɔ̱ɔ̱r mi dɔ̱ŋ cɛ de jek.
We don't really need to worry about that happening.	/ci kɔna lɛn go̱r i̱ banɛ diɛɛr kɛ mä tuɔɔki.
We don't really need to worry about that happening.	/ci kɔnɛ go̱r i̱ banɛ lɛ diɛɛr kɛ min ci tuɔɔk.
Don't you think it odd that she was in such a hurry?	Keniɛ car ï tëë ta̱ dɔ̱diɛn ɛn ta̱a̱ ëë pɛ̈th kɛ jɛ?
Does Tom have a good relationship with Mary's parents?	Tee Töm kɛ maar mi̲ gɔaa kɛ ci̲ëë maani̲ mëri̲?
Tom should probably not tell Mary about what happened.	Dɔ̱ŋ /cɛ dee gɔaa i̱ dee Töm Mɛrɛ la̱r min ci̱ tuɔɔk.
Tom thinks that Mary and I can take care of ourselves.	Töm carɛ jɛ i̱ ɣän kɔnɛ Mɛri̱ dee nɛy rɔ̱ luäŋ kɛ tiet.
My father bought this house for us when we got married.	Ci̱ gua̱a̱r nɛy kök duel ɛmɛ mëë ci̱ nɛy kuɛɛn.
Tom was lying to Mary when he said he wouldn't do that.	Töm cɛ Mëri̱ ka̱ckaac i̱ känɛ jɛ la̱t.
What makes you think that Tom is planning on resigning?	Ɛŋu jak ji kä ɤöö biɛ car I gör Töm ɤöö bɛ la̲t pal ɔ?
I can't go to the party because I can't get a babysitter.	/Cien bi̱ wä gua̱a̱th ŋarä kɛ ɣöö /cien rami̱ guic gaat bi̱ jek.
Tom never would've done what you've accused him of doing.	Töm /cɛ mɔ ciɛ cäk i̱kä mɔ kɛ jɛ dee met la̱t.
Tom said that he thought that Mary was unhappy in Boston.	Töm cɛ lar inɛ diɛwɛ jɛ Mɛri ci lɔcdɛ tɛth kä Bothton.
Mary was sitting in front of the mirror, brushing her hair.	Mɛrɛ cɛ nyuur nhiam neenä, guɛtdɛ mie̱mkɛ.
Tom didn't seem surprised when I told him Mary needed to do that.	Töm kenɛ ga̱a̱c me cä jiök i Mɛri go̱o̱rɛ la̱tdɛ.
Tom tried to remember the last time he had visited an art museum.	Töm cɛ ɣɔ̱n i̱ carɛ gua̱a̱th ëë jɔak ëë cɛ wä kä Mudhi̱öm.
Do you remember the first time you and I went to Australia together?	Mëë wee kɔn kä Ɣuthi̱rali̱a ɣän kɔnɛ ji̱ kɛ wedan ëë nhiam timi̱ jɛ ?
I'm pretty sure that Tom hasn't done everything he was supposed to have done.	ŋa̱thä jɛ Töm kenɛ tin derä luäŋ kɛ lätni la̱t.
I don't remember exactly what this cost, but it was over three hundred dollars.	/Ci̠en pek in kɔakɛ jɛ tit a gɔaa, duŋdɛ ɣöö kɔakɛ jɛ kɛ pek mi̠ bääl kurdi̠ɔ̱k.
When Tom bought his car, he didn't know that it had been involved in a serious accident.	Mëë kɔk Töm thurbilɛ, känɛ ŋa̱c i̱ ca kɔn yi̱ɛth.
