Who?	چه کسی؟
Some people compare life to a stage.	بعضی افراد زندگی را با یک صحنه‌ی نمایش مقایسه می‌کنند.
The accident happened two years ago.	حادثه دو سال پیش اتفاق افتاد.
The bad weather affected his health.	آب و هوای بد بر سلامت او تاثیر گذاشت.
The calendar is hanging on the wall.	تقویم به دیوار آویزان است.
The elephant was brought to the zoo.	آن فیل به باغ وحش برده شد.
The old man spoke with me in French.	پیرمرد به فرانسه با من صحبت کرد.
The picnic was canceled due to rain.	به خاطر باران، پیک نیک کنسل شد.
The students formed a human pyramid.	دانش‌آموزان یک هرم انسانی تشکیل دادند.
The surgeon operated on the patient.	جراح مریض رو عمل کرد.
There are a lot of tools in the box.	ابزارهای زیادی در جعبه وجود دارد.
There are many children in the park.	اینجا در پارک بچه های زیادی هستند.
There is a mistake in this sentence.	اشتباهی در این جمله هست.
There's always room for improvement.	همیشه جا برای بهبود هست.
This morning Tom had vegetable soup.	امروز صبح تام سوپ سبزیجات خورد.
Tom blamed himself for Mary's death.	تام خود را به خاطر مرگ ماری مقصّر می دانست.
Tom closed his eyes and made a wish.	تام چشم‌هایش را بست و یک آرزو کرد.
Tom didn't want to go into the cave.	تام نخواست به زیرزمین برود.
Tom is wearing a plaid jacket today.	امروز تام یک ژاکت چهارخانه پوشیده است.
Tom moved out of his parents' house.	تام از پدر و مادرش جدا شد (مستقل شد).
Tom put his lunch tray on the table.	تام سینی غذایش را روی میز گذاشت.
What do you mean, you can't help me?	منظورت چیه که نمی توانی به من کمک کنی؟
Where did Tom want to go to college?	تام می خواست کجا به کالج برود؟
Where there's a will, there's a way.	خواستن توانستن است.
You can't judge a book by its cover.	نمی‌توانی کتابی را با جلدش داوری کنی.
You can't make bricks without straw.	بدون کاه نمی‌توانید خشت بسازید.
You should acknowledge your failure.	باید به شکستت اعتراف کنی.
You will soon cease to think of her.	به زودی دیگر به او فکر نخواهی کرد.
African folklore is very interesting.	ادبیات بومی آفریقا بسیار جالب است.
Carrots and turnips are edible roots.	هویج و شلغم ریشه‌های خوراکی هستند.
Constant dripping wears away a stone.	قطره قطره جمع گردد، وانگهی دریا شود.
Didn't I tell you to clean your room?	بهت نگفتم اتاقت را تمیز کنی؟
Do they sell notebooks at that store?	آیا آنها در آن فروشگاه دفتر می فروشند؟
Do you have plans for tomorrow night?	برنامه ای برای فردا شب داری؟
Do you think they might be dangerous?	شما فکر می کنید که آنها ممکن است خطرناک باشند؟
Don't cut in when others are talking.	وقتی دیگران صحبت می‌کنند، حرفشان را قطع نکنید.
Don't open your umbrella in the hall.	در سالن چترت را باز نکن.
Even without makeup, she's very cute.	حتی بدون آرایش او بسیار بانمک است.
Every member of the club was present.	کلیه اعضای کلوب حاضر بودند.
Father set the alarm for six o'clock.	پدر زنگ ساعت را برای ساعت شش تنظیم کرد.
For all I know, he was born in Italy.	تمام چیزی که می دانم اینست که او در ایتالیا متولد شده است.
He had a share in completing the job.	او در به پایان رساندن کار سهمی داشت.
He had a share in completing the job.	او نقشی در به پایان رساندن کار داشت.
He has no close friends to talk with.	او دوست نزدیکی برای گفتگو نداشت.
He was born in a small town in Italy.	او در شهر کوچکی در ایتالیا متولد شده است.
He will be my deputy while I am away.	تا وقتی نیستم، او جانشین من خواهد بود.
I decided to come to Japan last year.	سال پیش من تصمیم گرفته بودم که به ژاپن بیایم
I don't like being treated like this.	دوست ندارم که با من اینطوری رفتار شود.
I exempted her from working overtime.	من او را از اضافه کار معاف کردم.
I had met him many times before then.	من قبل از آن، چندین بار او را ملاقات کرده بودم.
I have never heard of him since then.	تا قبل ار این هرگز از او چیزی نشنیده بودم.
I interpreted his silence as consent.	من سکوت او را به رضایت تعبیر می کنم.
I looked to see if he was teasing me.	نگاه کردم ببینم سر به سرم نمی‌گذارد.
I must replace that fluorescent lamp.	باید آن لامپ مهتابی را عوض کنم.
I think I understand what went wrong.	من فکر می کنم فهمیدم که کجای کار اشتباه بود.
I used one of my old shirts as a rag.	من یکی از لباسهای کهنه را به عنوان لته استفاده کردم.
I used one of my old shirts as a rag.	من یکی از لباسهای قدیمی را به عنوان کهنه استفاده کردم.
I want to go with you, but I'm broke.	می خواهم با تو بیایم، اما پول ندارم.
I will be waiting for you in my room.	در اتاقم منتظرت خواهم بود.
I will stand by you whatever happens.	هر چه پیش آید من در کنار تو می‌ایستم.
I will tell the teacher all about it.	من به آموزگار همه چیز را درباره‌اش خواهم گفت.
I will tell the teacher all about it.	من به معلم همه چیز دربارهٔ آن را خواهم گفت.
I will tell the teacher all about it.	به مدرس هر چیز در مورد این را خواهم گفت.
I'll take care of your child tonight.	امشب مراقب بچه ات خواهم بود.
I'm not accustomed to such treatment.	من به چنین رفتارهایی عادت نکرده ام.
I'm really not interested in history.	من واقعاً علاقه ای به تاریخ ندارم.
In case of fire, you should dial 119.	در صورت آتش سوزی، شما باید با شماره 119 تماس بگیرید.
It's all just a big misunderstanding.	همه اش تنها یک سوء تفاهم بزرگ است.
Murder and robbery are criminal acts.	قتل و سرقت اعمال جنائی هستند.
Needless to say, he never came again.	نیازی به گفتن نیست که او دیگر هرگز باز نگشت.
Not knowing what to do, I called her.	بدون اینکه بدانم چه می کنم، به او زنگ زدم.
She is looking for a large apartment.	او به دنبال یک آپارتمان بزرگ است.
She never forgets to admire our baby.	او هرگز تعریف کردن از نوزاد ما را فراموش نمی کند.
She was satisfied that he was honest.	او قانع شد که او صداقت دارد.
That scandal cost him his reputation.	آن افتضاح به قیمت آبرویش تمام شد.
The crocodile is a protected species.	تمساح از گونه های تحت حمایت است.
The doctor prescribed Tom a sedative.	دکتر برای تام یک آرام‌بخش تجویز کرد.
The game was put off until next week.	بازی تا هفته آینده متوقف شد.
The roof is really in need of repair.	پشت بام واقعا به تعمیر احتیاج دارد.
The soldier aimed his gun at the man.	سرباز با اسلحه به سمت مرد نشانه گیری کرد.
The store is open all the year round.	این فروشگاه در تمام طول سال باز است.
The workers took pride in their work.	کارگران به کارشان می بالند.
There's nothing like a good hot bath.	هیچ چیز مانند گرمابه نیست.
These things always happen in threes.	تا سه نشود بازی نشود.
They insisted on my paying the money.	آنها اصرار کردند که من پول را بپردازم.
They say that ferns can have flowers.	آنها می گویند سرخس ها می توانند گل داشته باشند.
This book contains forty photographs.	این کتاب حاوی چهل عکس است.
This bus will take you to the museum.	این اتوبوس شما را تا موزه می برد .
This gun is reportedly very powerful.	طبق گزارش،اسلحه خیلی قدرتمند است.
Tom arrived just in the nick of time.	تام دقیقاً آخرین لحظه رسید.
Tom doesn't always play by the rules.	تام همیشه مطابق قانون بازی نمی کند.
Tom doesn't need to worry about Mary.	نباید که تام نگران ماری باشد.
Tom plans to go camping next weekend.	تام برنامه ریزی کرده برای تعیطلات آخر هفته بعدی به کمپ بره.
Tom said that he was too busy to eat.	تام گفت اینقدر سرش شلوغه که نمیتونه غذا بخوره.
We were able to do that successfully.	ما تونستیم با موفقیت انجامش بدیم.
We were able to do that successfully.	.
We were very sleepy the next morning.	ما صبح روز بعد خیلی خواب آلود بودیم.
When does your summer vacation start?	تعطیلاتِ تابستانیت کِی شروع میشه؟
Who did you vote for in the election?	به چه کسی در این انتخابات رأی دادی؟
Why are you so interested in history?	چرا اینقدر به تاریخ علاقه دارید؟
Would you like another piece of cake?	یک تکه‌ی کیک دیگر میل دارید؟
You guys won't believe what happened.	شما باور نخواهید کرد که چه اتفاقی افتاد.
You should go and have your hair cut.	شما باید بروید و موهایتان را کوتاه کنید.
All his endeavors proved unsuccessful.	همهٔ تقلاهایش ناموفق بود.
April is the fourth month of the year.	آوریل، چهارمین ماه سال است.
Athletes usually abstain from smoking.	ورزشکاران معمولاً از استعمال دخانیات اجتناب می‌کنند.
Can I offer you another piece of cake?	می توانم به شما قطعه دیگری کیک تعارف نمایم؟
Do you have much snow in your country?	آیا در کشور شما برف زیاد می بارد؟
Dolphins are very intelligent animals.	دلفین ها حیوانات بسیار هوشمندی هستند.
Don't put all your eggs in one basket.	همه تخم مرغ هایتان را در یک سبد نگذارید.
Exams are right after summer vacation.	امتحان درست بعد از تعطیلاتِ تابستان.
Have you ever seen sausage being made?	تا به حال طریقه ساخت سوسیس رو دیده اید?
He felt in his pocket for his lighter.	او برای فندک دست به جیبش برد.
He is as tall as any boy in his class.	او به بلندی هیچ پسری در کلاسش نیست.
He pushed his nose against the window.	او بینی‌اش را روی پنجره فشار داد.
He said he would come and he did come.	او گفت که خواهد آمد و واقعاً آمد.
He seems to have been a great athlete.	او وانمود می کند که ورزشکاری بزرگ بوده است.
He stayed in New York for three weeks.	او برای سه هفته در نیویورک ماند
He survived being struck by lightning.	او از اصابت صاعقه، جان سالم به در برد.
He was compelled to sign the contract.	او مجبور شد قرارداد را امضاء کند.
I am very interested in those stories.	من به چنین داستانهایی خیلی علاقه دارم.
I can't agree with you on this matter.	من در این موضوع با تو موافق نیستم.
I didn't see any children in the park.	هیچ بچه ای در پارک ندیدم.
I had no choice but to take the plane.	من انتخاب دیگری نداشتم جز اینکه سوار هواپیما شوم.
I hope that all your dreams come true.	امیدوارم همهٔ رؤیاهایت به حقیقت بپیوندند.
I hope that all your dreams come true.	امیدوارم همهٔ رؤیاهایت محقق شوند.
I just want to ask you some questions.	فقط می‌خواهم چند سؤال از شما بپرسم.
I tried to stop Tom from hurting Mary.	سعی کردم تام را از آسیب رساندن به ماری بازدارم.
I wasn't able to believe him at first.	در ابتدا توان این را نداشتم که باورش کنم.
I'd prefer to speak to you in private.	من ترجیح می دادم که به طور خصوصی با شما سخن بگویم.
I'm jealous that you have a good boss.	از اینکه کارفرمای خوبی داری، به تو حسادت می کنم.
Look at that building. Is it a temple?	به این ساختمان نگاه کن.آیا آن یک معبد است؟
Man is the only animal that can laugh.	انسان تنها حیوانی است که می تواند بخندد.
Marriage is the main cause of divorce.	ازدواج عامل اصلی طلاق است.
My T-shirt shrank because I washed it.	تی شرتم آب رفت چون شستمش.
My baby can't talk yet. He just cries.	بچه‌ام هنوز نمی‌تواند حرف بزند؛ فقط گریه می‌کند.
My toolbox is in the back of my truck.	جعبه ابزام پشت وانتم هست.
Not every question deserves an answer.	هر پرسشی شایستهٔ پاسخ نیست.
Not every question deserves an answer.	هر سؤالی استحقاق جواب ندارد.
Older people are more prone to injury.	افراد مسن‌تر بیشتر در معرض جراحت هستند.
She gets up the earliest in my family.	او زودتر از همه در خانواده من از خواب بیدار می شود.
She had a thoughtful look on her face.	او نگاه متفکرانه ای بر چهره اش داشت.
Some people keep rare animals as pets.	برخی افراد، حیوانات کمیاب را بعنوان حیوان خانگی نگه می دارند.
The criminal investigation is ongoing.	تحقیقات جنائی در جریان است.
The only constant in nature is change.	تنها ثابت در طبیعت تغییر است.
The police didn't book Tom for murder.	پلیس تام را به قتل متهم نکرد.
The two mountains are of equal height.	دو کوه از بلندای یکسانی برخوردار هستند.
There were a lot of murders last year.	پارسال قتل‌های زیادی اتفاق افتاد.
There's nothing to eat in the kitchen.	هیچ چیزی برای خوردن در آشپزخانه نیست.
They called the village New Amsterdam.	آنها به آن دهکده نیو آمستردام می گویند.
Tom died before the ambulance arrived.	تام قبل از رسیدن آمبولانس مُرد.
Tom died before the ambulance arrived.	تا آمبولانس برسه تام مُرد.
Tom hasn't seen much of Mary recently.	تام اخیراً مری را زیاد ندیده است.
Tom is the one who told me what to do.	تام کسی است که به من گفت چه کار کنم.
Tom must decide what to do right away.	تام باید فوراً تصمیم بگیرد که چه کاری باید انجام دهد.
Tom told me that he grew up in Boston.	تام به من گفت که در بوستون بزرگ شد.
We could not see anyone in the street.	ما نمی توانستیم هیچ کسی را در خیابان ببینیم.
We live in the vicinity of the school.	ما در حومه ی مدرسه زندگی می کنیم.
We need a place to stay for the night.	ما به جایی نیاز داریم، که شب آنجا بمانیم.
What's the tallest mountain in Europe?	مرتفع ترین کوه اروپا چیست؟
Why won't anybody answer my questions?	چرا هیچ کس پاسخ سؤالهایم را نمی دهد؟
Will you put the glasses on the table?	آیا لیوانها را روی میز خواهید گذاشت؟
You can stay here as long as you like.	شما می‌توانید هرچقدر می‌خواهید اینجا بمانید.
A little learning is a dangerous thing.	یادگیری اندک، چیز خطرناکی است.
A man is known by the company he keeps.	یک مرد از روی افرادی که با آنها معاشرت می‌کند شناخته می‌شود.
All the students began talking at once.	همه دانش آموزان همزمان شروع به صحبت کردن نمودند.
Children grow up astonishingly quickly.	بچه‌ها به طرز شگفت‌آوری سریع بزرگ می‌شوند.
Do I need to explain the reason to him?	آیا لازم است دلیل را به او توضیح دهم؟
Do you know how my friends describe me?	می دانی دوستانم چگونه مرا توصیف می کنند؟
Do you think Tom will like the concert?	فکر می کنی تام کنسرت را دوست خواهد داشت؟
Don't confuse astrology with astronomy.	طالع‌بینی را با ستاره‌شناسی اشتباه نکن.
Don't try to walk before you can crawl.	قبل از اینکه بتوانی گاگله کنی سعی نکن راه بروی.
Each speaker was allotted five minutes.	به هر سخنران پنج دقیقه اختصاص داده شد.
Father sometimes took me to his office.	پدرم گاهی مرا به اداره اش می برد.
Have you ever been stung by a scorpion?	آیا تا کنون توسط یک عقرب گزیده شده‌اید؟
He became ever more famous as a critic.	او در نقّادی از هر زمانی مشهورتر شد.
He hurried on to make up for lost time.	او عجله کرد تا زمان از دست رفته را جبران کند.
He thoughtfully gave me a helping hand.	او فکورانه مرا دستگیری کرد.
Her house is at the foot of a mountain.	خانه او در کوهپایه است.
I can resist everything but temptation.	من در مقابل همه چیز غیر از وسوسه می‌توانم مقاومت کنم.
I can't prune this tree. It's too tall.	من نمی‌توانم این درخت را هرس کنم. زیاد بلند است.
I love you from the bottom of my heart.	من شما را از ته قلبم دوست دارم.
I really want to be with Tom right now.	واقعا دلم می خواهد هم اکنون با تام باشم.
I said to myself, "That's a good idea."	با خودم گفتم: «این فکر خوبی است.»
I think Tom is beating around the bush.	فکر کنم تام دارد طفره می رود.
I'll explain how to take this medicine.	من توضیح خواهم داد که چگونه این دارو را مصرف کنید.
Late autumn in Scotland is rather cold.	اواخر پاییز در اسکاتلند نسبتاً سرد است.
Let's go back before it begins to rain.	بیا برگردیم قبل از آنکه باران باریدن بگیرد.
Most Japanese temples are made of wood.	اکثر معبدهای ژاپنی از چوب ساخته شده‌اند.
My teacher recommended that dictionary.	معلم‌ام آن واژه‌نامه را توصیه کرد.
Now it's time for the weather forecast.	اکنون زمان پیش بینی هواست.
Our planet, Earth, is always in motion.	سیاره‌ی ما، زمین، همواره در حرکت است.
Scotland can be very warm in September.	اسکاتلند در ماه سپتامبر ممکن است خیلی گرم باشد.
Several newspapers published the story.	مجلا ت گونا گونی آن داستان را منتشر کردند.
She asked me to help her with the work.	او از من خواست در کار به او کمک کنم.
She should listen more to other people.	او باید بیشتر به دیگران گوش دهد.
The Japanese economy developed rapidly.	اقتصاد ژاپن به سرعت پیشرفت کرد.
The landlord promised immediate action.	صاحبخانه قول عمل فوری داد.
The people who were here have all gone.	افرادی که اینجا بودند، همه رفته‌اند.
There is a downhill after every uphill.	بعد از هر سربالایی یک سرازیری است.
There is a very old temple in the town.	در شهر یک معبد خیلی قدیمی وجود دارد.
This room is used for various purposes.	این اتاق برای چندین منظور استفاده می شود.
Tom didn't have the guts to shoot Mary.	تام جرئتش را نداشت به ماری شلیک کند.
Tom doesn't believe that Mary is happy.	تام باور نمی کند که مری خوشبخت است.
When it was time to vote, he abstained.	هنگامی که زمان رأی دادن بود، او از از رأی دادن خودداری کرد.
A computer is an absolute necessity now.	اکنون کامپیوتر یک ضرورت مسلم است.
By the way, are you free this afternoon?	راستی, امروزبعد از ظهروقت داری (بیکاری)؟
Does Tom have a key to Mary's apartment?	آیا تام کلید خانه ی ماری را دارد؟
Don't make a mountain out of a molehill.	از کاهی کوهی ساختن.
Drastic times call for drastic measures.	دوران ناگوار، روش های ناگوار می طلبند.
Few passengers survived the catastrophe.	تعداد اندکی از مسافران از فاجعه جان به در بردند.
He changes his schedule from day to day.	او برنامه ی روزانه اش را روز به روز عوض می کند.
He doesn't want me to go, but I mean to.	او نمی‌خواهد که من بروم، ولی من قصد دارم این کار را بکنم.
He read the article over and over again.	او مقاله را بارها مطالعه کرد.
He wrote this book at the age of twenty.	او این کتاب را در سن بیست‌سالگی نوشت.
His answer was to strike me on the head.	پاسخ او مرا مجاب کرد.
I have no words to express my gratitude.	من نمی‌توانم قدرشناسی‌ام را با کلمات بیان کنم.
I walk my dog in the park every morning.	من هر روز صبح سگم را برای قدم زدن به پارک میبرم.
I wish I had more time to talk with her.	کاش وقت بیشتری برای حرف زدن با او داشته باشم.
I'll never forget him as long as I live.	تا زمانی که زنده ام او را فراموش نخواهم کرد.
I'm afraid I can't make it at that time.	من نگران هستم، که نتوانم در موقع مقرر آن را درست کنم.
I'm looking forward to seeing you again.	چشم‌انتظار دیدار مجدد شما هستم.
If you have nothing to say, say nothing.	اگر هیچ چیز برای گفتن ندارید، هیچ چیز نگویید.
If you see Tom, say hello to him for me.	اگه تام رو دیدی، از طرف من بهش سلام برسان.
It has developed into a very large city.	این شهر گسترش یافته و به شهر بزرگی تبدیل شده است.
It may be difficult, but not impossible.	ممکن است سخت باشد، ولی غیر‌ممکن نیست.
It's about time for the train to arrive.	الآن تقریبا زمانی است که قطار می رسد.
Love isn't a feeling. It's a commitment.	عشق یک احساس نیست. یک تعهد است.
Mary helped her mother with the cooking.	ماری به مادرش در آشپزی کمک کرد.
Mastering a foreign language isn't easy.	تسلط بر یه زبان خارجی آسون نیست.
My bag is too old. I must buy a new one.	کیف من کهنه است. من باید یکی نو بخرم.
My mom wants me to study in Switzerland.	مادرم می خواهد که من در سوئیس درس بخوانم.
My mother always wears a kimono at home.	مادرم همیشه در خانه کیمونو می پوشد.
My mother often bakes apple pies for us.	مادرم اغلب برای ما پای سیب می پزد.
My shoelace got caught in the escalator.	بند کفشم در پله برقی گیر کرد.
Obviously, he's not that kind of person.	روشن است که او چنین آدمی نیست.
Ten years have passed since I came here.	ده سال از زمانی که من به اینجا آمدم، گذشته است.
The soldier returned home on a furlough.	سرباز با یک مرخصی به خانه بازگشت.
The sun has just sunk below the horizon.	خورشید همین حالا به زیر افق کشیده شد.
There are a lot of children in the park.	اینجا در پارک بچه های زیادی هستند.
They say that a large dam will be built.	آنها می گویند که سد بزرگی ساخته خواهد شد.
This box is empty. It has nothing in it.	این جعبه خالی است. هیچ چیز درون آن نیست.
This moment will be recorded in history.	این لحظه ای است که در تاریخ ثبت خواهد شد.
Tom claimed that he didn't kill anybody.	تام مدعّی شد کسی را نکشته.
Tom claimed that he didn't kill anybody.	تام ادّعا کرد هیچ کس را به قتل نرسانده است‌.
Tom continued doing that his whole life.	تام در تمام طول زندگی اش به انجام این کار ادامه داد.
Tom dropped Mary off in front of John's.	تام ماری را جلوی خانه ی جان پیاده کرد.
Tom is the one who gave me this bicycle.	تام کسی است که این دوچرخه را به من داد.
Tom was my best friend when I was a kid.	وقتی که من بچه بودم، تام بهترین دوست من بود.
We are working in the interest of peace.	ما در جهت صلح تلاش می کنیم.
We discussed the matter with each other.	ما مساله را با یکدیگر مورد بررسی قرار دادیم.
We have to find Tom before it gets dark.	باید قبل از اینکه هوا تاریک شود، تام را پیدا کنیم.
What's your favorite TV show theme song?	آهنگ برنامه تلویزیونی مورد علاقه ات چیست؟
About how much would a taxi be from here?	کرایه‌ی تاکسی از اینجا تقریباً چقدر می‌شود؟
Although I was tired, I did my very best.	هرچند خسته بودم، حداکثر ممکن سعی ام را کردم.
At one time Nigeria was a British colony.	زمانی، نیجریه ، مستعمره بریتانیا بود.
Closing your eyes helps you think better.	بستن چشمانتان به شما کمک می‌کند بهتر فکر کنید.
Do you want to go to the station with me?	می خواهی با من به ایستگاه بروی؟
Either you or I will get the first prize.	یا من یا تو جایزه اول را برنده خواهیم شد.
Even if I had wished to stop, I couldn't.	حتی اگر می خواستم توقف کنم، نمی توانستم.
How often do you replace your toothbrush?	هر چند وقت یک بار مسواکت را تعویض می‌کنی؟
I bought ingredients for curry on Sunday.	من مواد اولیه برای کاری را روز یکشنبه خریدم.
I correspond with many friends in Canada.	من با بسیاری از دوستان در کانادا نامه نگاری می کنم.
I have made up my mind to propose to her.	من تصمیممو گرفتم که ازش خواستگاری کنم.
I think Tom is going to try to kill Mary.	تفکر کنم تام می خواهد سعی کند ماری را بکشد.
I'm not going to explain it to you again.	دوباره برایت توضیح نمی‌دهم.
I'm sick and tired of all this bickering.	من از این همه جر و بحث خسته و بیزارم.
I've already considered that possibility.	من واقعاً آن احتمال را در نظر گرفته ام.
It is easier to stay out than to get out.	بیرون ماندن راحت‌تر از بیرون رفتن است.
It is impossible to resolve the conflict.	حل مخاصمه، غیر ممکن است.
It is rude to speak with your mouth full.	بی‌ادبانه است که با دهان پُرَت صحبت کنی.
It is rude to speak with your mouth full.	صحبت کردن با دهان پر بی‌ادبانه است.
It is rude to speak with your mouth full.	بی‌ادبانه است که با دهان پرتان صحبت کنید.
Mother divided the cake into three parts.	مادر کیک را به سه قسمت تقسیم کرد.
Occasionally, things don't go as planned.	گاهی اوقات، کار‌ها طبقِ برنامه پیش نمی‌رود.
Please tell me how to get to the airport.	لطفاً به من بگو چگونه به فرودگاه بروم.
Please tell me how to get to the airport.	لطفاً به من بگو چطوری به فرودگاه برسم.
She had to speak before a large audience.	می‌بایست در مقابل حاضر زیادی سخنرانی کند.
She misses him, especially on rainy days.	دلش برای او تنگ می‌شود، به‌خُصوص در روزهای بارانی.
She regretted not having gone into music.	او پشیمان بود از اینکه به سراغ موسیقی نرفته است.
Sorry, I didn't know you were still here.	ببخشید،من نمی دانستم تو همچنان اینجا بودی.
Sunlight is the main source of vitamin D.	نور خورشید منبع اصلی ویتامین دی است.
That experiment led to a great discovery.	این آزمایش منجر به کشف بزرگی شد.
That way I kill two birds with one stone.	این طور دو پرنده را با یک سنگ می‌زنم.
The new store is going to open next week.	فروشگاه جدید هفته‌ی آینده باز می‌شود.
They were not aware that I was not there.	آنها خبر نداشتند که من آنجا نیستم.
They were speaking in a Southern dialect.	آنها با یک لهجهٔ جنوبی صحبت می‌کنند.
They're all figments of your imagination.	آنها همگی ساخته‌های خیالت هستند.
Tom and Mary live in different countries.	تام و مری در کشورهای متفاوتی زندگی می کنند.
Tom doesn't know how to have a good time.	تام نمی داند چطور اوقات خوشی داشته باشد.
Tom is dating a Chinese exchange student.	تام با یک دانشجوی تبادلی چینی دوست است.
Tom is scrupulous in matters of business.	تام در موارد حرفه‌ای مو را از ماست می‌کشد.
Tom is scrupulous in matters of business.	تام در موارد حرفه‌ای موشکافانه است.
Tom lay in bed staring up at the ceiling.	تام در رختخواب خوابیده بود و به سقف نگاه می کرد.
Tom lay in bed staring up at the ceiling.	توماس روی تخت دراز کشیده بود و به سقف نگاه می کرد.
Tom sat on his bed and opened his laptop.	تام روی تختش نشست و لپ تاپش رو باز کرد.
Tom went to the park on Sunday afternoon.	تام بعد از ظهر یکشنبه به پارک رفت.
What is that big building in front of us?	آن ساختمان بلندی که جلو ماست، چیست؟
You have to get above a "C" in the class.	شما باید در این کلاس بالاتر از سی نمره بگیرید.
Actually, I did want to ask you one thing.	در واقع، می خواستم از شما یک چیزی را بپرسم.
Asking questions is the best way to learn.	سوال پرسیدن بهترین راه برای یادگیری است.
At first I did not like him, but now I do.	ابتدا از او خوشم نمی آمد ولی حالا چرا.
Didn't I tell you to take out the garbage?	بهت نگفتم آشغال‌ها را ببری بیرون؟
Do you think Tom would want to go with us?	شما فکر می کنید تام با ما خواهد آمد؟
Don't criticize what you can't understand.	به چیزی که نمی‌فهمید انتقاد نکنید.
Everyone is insane, in his or her own way.	هر کس به شیوهٔ خودش دیوانه است.
Have you told anyone where our hideout is?	آیا تو به کسی گفته ای که مخفیگاه ما کجاست؟
He had time to prepare his men for battle.	او برای آماده کردن مردانش برای جنگ فرصت داشت.
Her daughter has become a beautiful woman.	دختر او به زن زیبایی تبدیل شده است.
How did you know I wanted to speak to Tom?	شما چطور فهمیدید که من می خواستم با تام صحبت کنم؟
However hard he may try, he won't succeed.	هر چقدر هم او تلاش کند، موفق نخواهد شد.
I can resist everything except temptation.	من در مقابل هر چیزی می‌توانم مقاومت کنم غیر از وسوسه.
I didn't know where I should wait for her.	نمی دانستم کجا باید منتظر او بمانم.
I don't want to be here when Tom wakes up.	من نمی‌خواهم وقتی تام بیدار می‌شود اینجا باشم.
I got acquainted with him three years ago.	من سه سال پیش با او آشنا شدم.
I know that Tom is a very valuable client.	من میدونم که تام مشتری ارزشمندی است
I was rendered speechless by his rudeness.	به خاطر گستاخی او، زبانم بند آمد.
I'm not used to making speeches in public.	من عادت به سخنرانی کردن در حضور جمع ندارم.
I've been reading that book all afternoon.	من تمام بعد از ظهر آن کتاب را داشتم می خواندم.
I've never seen anything like this before.	من تا به حال چیزی مانند این ندیدم.
It isn't going to be difficult to do this.	انجام این کار دشوار نخواهد بود.
It looks like the wind's getting stronger.	به نظر می آید که باد شدیدتر می شود.
Many men were badly wounded in the battle.	خیلی از مردان در جنگ شدیدا مجروح شدند.
My father has been out of work for a year.	پدرم به مدت یک سال بیکار بوده است.
New York is the busiest city in the world.	نیویورک شلوغ ترین شهر دنیا است.
She refused to say more about that matter.	او قبول نکرد بیشتر در آن مورد بگوید.
The bigger they are, the harder they fall.	هر چه بزرگتر باشند، سخت‌تر سقوط می کنند.
The only language Tom can speak is French.	تنها زبانی که تام می‌تواند به آن صحبت کند فرانسوی است.
The waitress brought Tom a glass of water.	پیشخدمت برا ی تام یک لیوان آب آورد.
The whole nation mourned the hero's death.	تمام ملل برای مرگ قهرمانانشان سوگواری می کنند.
This is the room where the body was found.	این اتاقی است که جسد در آن یافت شد.
This problem is difficult for me to solve.	برایم دشوار است که این مسئله را حل کنم.
Tom crawled into bed just before midnight.	تام درست قبل از نیمه شب به درون رختخوابش خزید.
Tom doesn't know a whole lot about racing.	تام آنقدرها راجع به مسابقه دادن نمی‌داند.
Tom doesn't know whether it's true or not.	تام نمی‌داند که این راست است یا نه.
Tom hasn't graduated from high school yet.	تام هنوز از دبیرستان فارغ‌التحصیل نشده است.
Tom is the one who showed me how to do it.	تام کسی است که به من نشان داد چه طور انجامش بدهم.
Tom just loves pineapple upside-down cake.	تام کیک آناناسی سر و ته شده را خیلی دوست دارد.
Tom took the broom out of the hall closet.	تام جارو را از کمد دیواری داخل راهرو برداشت.
We are going to travel abroad this summer.	ما می خواهیم این تابستان به خارج سفر کنیم.
We can hear the church bell every morning.	هر روز صبح می‌توانیم صدای ناقوس کلیسا را بشنویم.
We have heard of your success in the exam.	ما از موفقیتت در امتحان شنیده ایم.
A Persian cat was sleeping under the table.	گربه ای ایرانی زیر میز خوابیده بود.
Can you recommend a hotel near the airport?	می‌توانی یک هتل نزدیک فرودگاه پیشنهاد کنی؟
Did you find the book you were looking for?	کتابی که دنبالش می گشتی رو پیدا کردی؟
Give a man a mask and he'll tell the truth.	به یک مرد یک نقاب بدهید تا حقیقت را بگوید.
He directed all his energy to his business.	او همه انرژی خود را معطوف به کارش کرده است.
He insulted her. That is why she got angry.	به او دشنام داد.به همین خاطر او عصبانی گشت.
I don't suppose you'd consider helping Tom.	فکر نکنم شما کمک به تام را مدنظر قرار دهید.
I don't understand why this has to be done.	نمی فهمم چرا این کار باید انجام شود.
I hadn't gone a mile when it began to rain.	یک مایل نرفته بودم که باران شروع شد.
I need a lot of cloth to make a long dress.	من برای درست کردن یک لباس بلند به مقدار زیادی پارچه احتیاج دارم.
I sometimes go by bus and sometimes I walk.	من بعضی وقتها با اتوبوس میرم و بعضی وقتها پیاده
I want to stay in a hotel near the airport.	من میخواهم در یک هتل نزدیک فرودگاه اقامت کنم.
I'd be unhappy, but I wouldn't kill myself.	خوشبخت نخواهم بود، ولی خود را نخواهم کشت.
