Wow!	Carai!
My friend doesn't believe that ghosts exist.	La meva amiga no creu que els fantastes existeixin.
She kept the dining room warm in the winter.	Ella mantenia el menjador calent a l'hivern.
She makes him do his homework before dinner.	Ella l'obliga a fer els deures abans de sopar.
The Maori language is spoken in New Zealand.	La llengua maori es parla a Nova Zelanda.
They fell into the conversation immediately.	Van passar al tema a l'instant.
Tom said he's glad you were able to do that.	En Tom va dir que estava content que haguessis pogut fer allò.
What's the name of your favorite restaurant?	Com es diu el teu restaurant preferit?
You should pay more attention to what I say.	Deuries prestar més atenció a allò que dic.
Both of them are unpredictable and impatient.	Tots dos són impredictibles i impacients.
But what does this have to do with the birds?	Però, què té a veure, això, amb els ocells!
Do you think this image has been manipulated?	Creus que esta imatge ha sigut manipulada?
Her explanation of the problem made no sense.	La seva explicació del problema no tenia ni cap ni peus.
Human beings are the only animals that laugh.	L'ésser humà és l'únic animal que riu.
I am going to do it whether you agree or not.	Ho faré, estigueu o no d'acord amb mi.
I didn't know you were that kind of a person.	No sabia que eres així.
I don't understand what you're trying to say.	No entenc el que vols dir.
I will take you to the zoo one of these days.	Un dia d'aquests et portaré al zoo.
In any case, this has nothing to do with you.	En tot cas, açò no té res a veure amb tu.
My son has gone to America to study medicine.	El meu fill ha anat a Amèrica a estudiar medicina.
She says she brushes her teeth every morning.	Ella diu que es raspatlla les dents tots els dematins.
Things don't change very quickly around here.	Les coses no canvien gaire ràpid per aquests volts.
Tom cut his finger when he was opening a can.	En Tom es va tallar el dit mentre obria una llauna.
Tom will likely be the first person to leave.	El Tom serà gairebé segur el primer a marxar.
Tom will likely be the first person to leave.	El Tom serà probablement el primer a marxar.
Tom will likely be the first person to leave.	El Tom marxarà el primer probablement.
We need to invest in clean, renewable energy.	Hem d'invertir en energia neta i renovable.
You'll need to come back before it gets dark.	Hauries de tornar abans que es fes fosc.
He is one of the candidates running for mayor.	És un dels candidats que es presenta per alcalde.
I went to Vienna for the first time last year.	L'any passat vaig anar a Viena per primer cop.
I'd like to have a few minutes alone with Tom.	Voldria tenir uns minuts a soles amb el Tom.
I'm getting off the train at the next station.	Em baixo del tren a la pròxima estació.
It is said that golf is very popular in Japan.	Es diu que el golf és molt popular al Japó.
It seems I'm going to be up all night tonight.	Sembla que avui estaré despert tota la nit.
My mom yells at me all the time for no reason.	Ma mare m'escridassa tothora sense motiu.
Please wash your hands properly before eating.	Siusplau renteu-vos les mans com cal abans de menjar.
She bought that camera while she was in Japan.	Ella va comprar aquella càmera quan era al Japó.
She came back ten minutes after the explosion.	Ella va tornar deu minuts després de l'explosió.
The urban population of America is increasing.	La població urbana a Amèrica està creixent.
Tom is a thirteen-year-old boy from Australia.	En Tom és un nen de tretze anys d'Austràlia.
Why are you not allowed to fish in this river?	Per què està prohibit pescar en este riu?
All the apples that fall are eaten by the pigs.	Totes les pomes que en cauen se les mengen els porcs.
I really liked the dance that we saw yesterday.	Em va agradar molt el ball que vam veure ahir.
I thought she was angry and would just go away.	Vaig pensar que s'havia enfadat i que se n'aniria.
She buys what she wants regardless of the cost.	Compra el que vol sense fixar-se en el que val.
She's curious to find out who sent the flowers.	Ella té curiositat per saber qui va enviar les flors.
Tom may not be able to pay his rent next month.	Potser que el Tom no pugui pagar el lloguer del mes que ve.
Unfortunately, my birthday is only once a year.	Malauradament, el meu aniversario només succeeix una vegada a l'any.
What would it cost to have this chair repaired?	Quant costaria arreglar aquesta cadira?
Don't do that unless Tom says you have to do it.	No ho facis tret que en Tom et digui que has de fer-ho.
Drink some coffee. It tastes very good, I think.	Pren una mica de cafè. Té molt bon gust, crec.
I was surprised that Tom didn't need to do that.	Em va sorprendre que en Tom no necessités fer-ho.
Mr. Jackson was my worst teacher in high school.	Mr. Jackson va ser el meu pitjor professor de l'institut.
She explained the literal meaning of the phrase.	Va explicar el significat literal de la frase.
There's something going on between Tom and Mary.	Alguna cosa hi ha entre el Tom i la Mary.
They're not going to let anything happen to Tom.	No permetran que res li succeeixi a en Tom.
Tom likes talking about politics and philosophy.	A en Tom li agrada parlar de política i filosofia.
He and his sisters are currently living in Tokyo.	En aquest moment, ell i les seves germanes viuen a Tòquio.
He explained the literal meaning of the sentence.	Va explicar el significat literal de la frase.
He never fails to write to his mother every week.	No passa una setmana que no li escrigui a la seva mare.
I don't want to sleep on the couch again tonight.	No vull dormir al sofà de nou aquesta nit.
I have a friend whose father is a famous pianist.	Tinc un amic el pare del qual és un pianista famós.
I thought you said you wanted to do that for Tom.	Em pensava que havies dit que ho volies fer per en Tom.
I'd like to forget the whole thing ever happened.	M'agradaria oblidar fins que tot allò ocorregué.
I'm not interested in going to the baseball game.	No tinc cap interès a anar al partit de beisbol.
I'm sorry, but I can't find the book you lent me.	Em sap greu, però no trobo el llibre que em vas deixar.
If only I knew, I would tell you all that I knew.	Si ho sabés, et diria tot el que sé.
Neither my sister nor I have read this new novel.	Ni jo ni la meva germana no hem llegit aquesta nova novel·la.
She tried to squeeze the juice out of the orange.	Va provar d'escórrer la taronja.
This story is far more interesting than that one.	Aquesta història és molt més interessant que aquella.
Tom said that he's glad you were able to do that.	En Tom va dir que estava content que haguessis pogut fer allò.
When he was young, he would often watch baseball.	Quan ell era jove, veia sovint el beisbol.
I took it for granted that he would pass the exam.	Dono per descomptat que aprovarà l'examen.
They insisted on my making use of the opportunity.	Em varen insistir per a que aprofitès aquella oportunitat.
Tom thinks women in America wear too much perfume.	En Tom pensa que als Estats Units les dones duen massa perfum.
Tom tried to tell Mary what he was planning to do.	En Tomàs va intentar comunicar a la Maria el que planejava fer.
I wonder whether Tom has a driver's license or not.	Em pregunto si en Tom té carnet de conduir o li manca.
I've not been to work. I've stayed at home all day.	No he anat a treballar, m'he quedat a casa tot el día.
Speaking of last night, what time did you get home?	Parlant de la nit d'ahir, a quina hora vas arribar a casa?
Tom is probably not the tallest person in the room.	En Tom probablement no és la persona més alta en aquesta sala.
Tom isn't a student here. He's one of the teachers.	En Tom no és un estudiant aquí. És un dels mestres.
Tom noticed that Mary was having trouble breathing.	El Tom va veure que la Mary tenia problemes per respirar.
Tom noticed that Mary was having trouble breathing.	El Tom va notar que a la Mary li costava respirar.
A can of beer tastes better after a hard day's work.	Una llauna de cervesa fa més bon gust després d'un dia de treballar de valent.
Do you know which deity this temple is dedicated to?	Sabeu a quina divinitat està dedicat aquest temple?
Everything was fine until Tom set the house on fire.	Tot estava bé fins que en Tom va incendiar la casa.
I haven't been to work. I've stayed at home all day.	No he anat a treballar, m'he quedat a casa tot el día.
I'm looking for Tom. You haven't seen him, have you?	Estic buscant el Tom. L'has vist?
I'm looking for Tom. You haven't seen him, have you?	Busco el Tom, no l'has vist pas?
I'm looking for Tom. You haven't seen him, have you?	Busco el Tom, no l'heu vist pas?
I'm looking for Tom. You haven't seen him, have you?	Estic buscant el Tom. L'heu vist?
There are purple tulips next to my castle's windows.	Hi ha tulipes de color violeta al costat de les finestres del meu castell.
There were a lot of things Tom didn't tell us about.	Hi havia un munt de coses de les quals en Tom no ens havia dit res.
Tom told everybody that he wanted to move to Boston.	En Tom va dir a tothom que es volia mudar a Boston.
Why don't we see if Tom wants to play cards with us?	Perquè no mirem si en Tom vol jugar a les cartes amb niosaltres?
A can of beer tastes better after a day of hard work.	Una llauna de cervesa fa més bon gust després d'un dia de treballar de valent.
Everything in the world is nothing more than a dream.	Tot el que hi ha a aquest món no és més que un somni.
I was glad to see that he finally came to his senses.	Vaig estar content de veure que al final va posar-hi seny.
I'm hoping to put an end to our unhappy relationship.	Friso per posar punt i final a la nostra relació infeliç.
Tom is a pretty nice person once you get to know him.	Un cop el coneixes, t'adones que en Tom és una persona prou simpàtica.
Tom said he thought that Mary would unlikely do that.	En Tom va dir que no es pensava que la Maria ho fes.
I want to live in a quiet city where the air is clean.	Vull viure a una ciutat tranquila amb l'aire pur.
If you don't want to be alone, I can keep you company.	Si no vols estar sol, puc fer-te companyia.
In the beginning God created the heaven and the earth.	Al principi Déu creà el cel i la terra.
Tom said that he's glad that you were able to do that.	En Tom va dir que estava content que haguessis pogut fer allò.
He will take over the business when his father retires.	Ell continuarà el negoci quan son pare es jubili.
I knew that Tom knew who was going to help him do that.	Sabia que en Tom sabia qui l'anava a ajudar a fer-ho.
My mother likes tulips very much and so does my sister.	A ma mare li agraden molt les tulipes i a ma germana també.
This cola has lost its fizz and doesn't taste any good.	Aquesta cola s'ha esbravat i no té bon gust.
Tom is accustomed to calling up girls on the telephone.	En Tom acostuma a trucar noies.
As a student, I became interested in oriental languages.	Com a estudiant vaig interessar-me per les llengües orientals.
I didn't know that you were finished doing that already.	No sabia que haguessis acabat de fer allò ja.
I don't know how much longer I'll be able to stand this.	No sé quant més de temps podré suportar això.
My life would be so different now if I hadn't done that.	La meva vida seria tan diferent ara mateix si no hagués fet allò.
Tom should tell Mary not to forget to water the flowers.	El Tom li hauria de dir a la Mary que no oblidi regar les flors.
Why don't you sit down, and we'll have a drink together?	Per què no seus i bevem junts una copa?
A man who never makes mistakes is a man who does nothing.	Qui no fa res malament, no fa res.
Cuzco is one of the most interesting places in the world.	Cuzco és un dels indrets més interessants del món.
I stayed in bed one more day just to be on the safe side.	Em vaig quedar un dia més al llit per si de cas.
I'm so sorry for not writing to you for such a long time.	Em sap molt de greu haver estat tant de temps sense escriure't.
Tom will likely be discharged from the hospital tomorrow.	Demà donaran d'alta de l'hospital en Tom.
"How are you feeling this morning?" "Pretty good, thanks."	"Com et sents aquest matí?" "Bastant bé, gràcies."
I didn't realize that you didn't know how to speak French.	No m'havia adonat que no parles francès.
I didn't realize that you didn't know how to speak French.	No m'havia adonat que no saps francès
I never realized that you were such a good French speaker.	No m'havia adonat que parles el francès tan bé.
I never realized that you were such a good French speaker.	Mai havia notat que parlessis el francès tan bé.
People of my generation all think the same way about this.	Tota la gent de la meva generació pensen igual sobre això.
The only useful answers are those that raise new questions.	Les úniques respostes útils són les que creen noves preguntes.
You must have a lot of patience to learn foreign languages.	Cal molta paciència per a aprendre llengües foranes.
By the age of 25, she had lived in five different countries.	Als 25 anys, ella havia viscut a cinc països diferents.
It takes us thirty minutes to walk from here to the station.	D'aquí a l'estació triguem mitja hora a peu.
The secret of longevity is to choose your parents carefully.	El secret de la longevitat és triar amb compte els pares.
Didn't you know Tom would be upset if he saw you kissing Mary?	No sabies que en Tom s'enutjaria si et veia besar la Maria?
It takes about 10 minutes to get to the train station by foot.	Tens uns 10 minuts d'aquí a l'estació a peu.
It's important to condemn racism, but that alone isn't enough.	És important condemnar el racisme, però amb això no n'hi ha prou.
This medicine must not be placed within the reach of children.	Aquest medicament no s'ha de deixar a la ma dels nins.
You told her that you had finished the work three days before.	Li vas dir que havies enllestit la feina feia tres dies.
I want to introduce you to the man I spoke about the other day.	Tinc desig de presentar-vos l'home de qui vaig parlar l'altre dia.
I wanted to go to the beach today, but then it started to rain.	Volia anar a la platja avui, però llavors ha començat a ploure.
His father died, and to make matters worse, his mother fell ill.	Son pare es va morir, i per acabar-ho d'adobar, sa mare es va posar malalta.
We lost our way, and what was worse, we were caught in a shower.	Ens vam perdre i, encara pitjor, ens va enxampar un xàfec.
The ticket you've bought isn't valid for travel during rush hour.	El billet que has comprat no és vàlid per a viatjar en hora punta.
She's worried since she hasn't heard from her son for many months.	Està amoïnada perquè fa mesos que no té notícia del seu fill.
I suspected that he was telling a lie, but that didn't surprise me.	Sospitava que m'estava dient una mentida, però això no em va sorprendre.
My daughter won't find it easy to get accustomed to the new school.	La meva filla no trobarà fàcil per acostumar-se a la nova escola.
The bullet penetrated his chest, leaving him in critical condition.	La bala va penetrar al seu pit i el va deixar en estat crític.
Tom and I are good friends now, but we didn't like each other at first.	En Tom i jo som bons amics ara, però al principi no ens quèiem gaire bé l'un a l'altre.
I wanted to buy the book, but I found I had no more than 200 yen with me.	Volia comprar el llibre, però vaig adonar-me que no duia més de 200 iens.
For the first time in more than 6 years, the unemployment rate is below 6%.	Per primera vegada en més de 6 anys, la taxa d'atur està per davall del 6%.
The majority of the population of this country are against mandatory voting.	La majoria de la població d'este país està en contra del vot obligatori.
We would have bought the plane tickets if the price had been a little lower.	Hauríem comprat els bitllets d'avió si el preu fos un pèl més baix.
My friend has had three jobs in a year; he never sticks to anything for long.	El meu amic ha treballat a tres llocs diferents en un any; res no li dura gaire.
Tom is able to understand French fairly well, but he doesn't speak it so well.	En Tom entén prou bé el francès, però no el parla tan bé.
You can't park in a handicapped parking space unless you have a special permit.	No pots aparcar a una plaça d'aparcament per discapacitats si no tens un permís especial.
The tiger mosquito is one of the most common carriers of chikungunya and dengue.	El mosquit tigre és un dels portants més habituals del chikungunya o del dengue.
According to a Gallup poll, 44% of Americans believe the world is less than 10,000 years old.	Segons una enquesta de Gallup, el 44% d'estatunidencs creu que el món té menys de 10.000 anys.
We're gonna make sure that no one is taking advantage of the American people for their own short-term gain.	Ens assegurarem que ningú s'estiga aprofitant del poble americà per al seu propi interès a curt termini.
